num_words,word_size,words_per_row,area,process,voltage,temperature,slew,load,rise_delay
16,2,1,46853,FF,5.0,25,0.0125,2.45605,1.4938000000000002
16,2,1,46853,FF,5.0,25,0.0125,9.8242,1.5326
16,2,1,46853,FF,5.0,25,0.0125,39.2968,1.6802000000000001
16,2,1,46853,FF,5.0,25,0.05,2.45605,1.4975
16,2,1,46853,FF,5.0,25,0.05,9.8242,1.5366
16,2,1,46853,FF,5.0,25,0.05,39.2968,1.6841
16,2,1,46853,FF,5.0,25,0.4,2.45605,1.5540000000000003
16,2,1,46853,FF,5.0,25,0.4,9.8242,1.5933000000000002
16,2,1,46853,FF,5.0,25,0.4,39.2968,1.7406
16,2,1,46853,SS,5.0,25,0.0125,2.45605,1.546
16,2,1,46853,SS,5.0,25,0.0125,9.8242,1.5871
16,2,1,46853,SS,5.0,25,0.0125,39.2968,1.7390000000000003
16,2,1,46853,SS,5.0,25,0.05,2.45605,1.5518
16,2,1,46853,SS,5.0,25,0.05,9.8242,1.5922
16,2,1,46853,SS,5.0,25,0.05,39.2968,1.7441
16,2,1,46853,SS,5.0,25,0.4,2.45605,1.6087
16,2,1,46853,SS,5.0,25,0.4,9.8242,1.6503
16,2,1,46853,SS,5.0,25,0.4,39.2968,1.8022
16,2,1,46853,TT,3.6,25,0.0125,2.45605,1.8344000000000003
16,2,1,46853,TT,3.6,25,0.0125,9.8242,1.8822000000000003
16,2,1,46853,TT,3.6,25,0.0125,39.2968,2.0635000000000003
16,2,1,46853,TT,3.6,25,0.05,2.45605,1.8402
16,2,1,46853,TT,3.6,25,0.05,9.8242,1.8872000000000002
16,2,1,46853,TT,3.6,25,0.05,39.2968,2.0700000000000003
16,2,1,46853,TT,3.6,25,0.4,2.45605,1.9033000000000002
16,2,1,46853,TT,3.6,25,0.4,9.8242,1.9512
16,2,1,46853,TT,3.6,25,0.4,39.2968,2.1324
64,2,4,66821,FF,5.0,25,0.0125,2.45605,1.8070000000000002
64,2,4,66821,FF,5.0,25,0.0125,9.8242,1.8492
64,2,4,66821,FF,5.0,25,0.0125,39.2968,2.0125
64,2,4,66821,FF,5.0,25,0.05,2.45605,1.811
64,2,4,66821,FF,5.0,25,0.05,9.8242,1.8535000000000001
64,2,4,66821,FF,5.0,25,0.05,39.2968,2.016
64,2,4,66821,FF,5.0,25,0.4,2.45605,1.8676000000000001
64,2,4,66821,FF,5.0,25,0.4,9.8242,1.9101
64,2,4,66821,FF,5.0,25,0.4,39.2968,2.0732000000000004
64,2,4,66821,SS,5.0,25,0.0125,2.45605,1.8638000000000001
64,2,4,66821,SS,5.0,25,0.0125,9.8242,1.9071000000000002
64,2,4,66821,SS,5.0,25,0.0125,39.2968,2.0763
64,2,4,66821,SS,5.0,25,0.05,2.45605,1.8675
64,2,4,66821,SS,5.0,25,0.05,9.8242,1.9116
64,2,4,66821,SS,5.0,25,0.05,39.2968,2.0798
64,2,4,66821,SS,5.0,25,0.4,2.45605,1.9269
64,2,4,66821,SS,5.0,25,0.4,9.8242,1.9710000000000003
64,2,4,66821,SS,5.0,25,0.4,39.2968,2.1389
64,2,4,66821,TT,3.6,25,0.0125,2.45605,2.2213
64,2,4,66821,TT,3.6,25,0.0125,9.8242,2.2757000000000005
64,2,4,66821,TT,3.6,25,0.0125,39.2968,2.4855
64,2,4,66821,TT,3.6,25,0.05,2.45605,2.2262
64,2,4,66821,TT,3.6,25,0.05,9.8242,2.281
64,2,4,66821,TT,3.6,25,0.05,39.2968,2.4907
64,2,4,66821,TT,3.6,25,0.4,2.45605,2.2909000000000006
64,2,4,66821,TT,3.6,25,0.4,9.8242,2.3447
64,2,4,66821,TT,3.6,25,0.4,39.2968,2.5554
16,1,1,44918,FF,5.0,25,0.0125,2.45605,1.4932
16,1,1,44918,FF,5.0,25,0.0125,9.8242,1.5311000000000001
16,1,1,44918,FF,5.0,25,0.0125,39.2968,1.6784
16,1,1,44918,FF,5.0,25,0.05,2.45605,1.4969000000000001
16,1,1,44918,FF,5.0,25,0.05,9.8242,1.5359
16,1,1,44918,FF,5.0,25,0.05,39.2968,1.6818000000000002
16,1,1,44918,FF,5.0,25,0.4,2.45605,1.5468000000000002
16,1,1,44918,FF,5.0,25,0.4,9.8242,1.5872000000000002
16,1,1,44918,FF,5.0,25,0.4,39.2968,1.732
16,1,1,44918,SS,5.0,25,0.0125,2.45605,1.5465
16,1,1,44918,SS,5.0,25,0.0125,9.8242,1.5855
16,1,1,44918,SS,5.0,25,0.0125,39.2968,1.7358000000000002
16,1,1,44918,SS,5.0,25,0.05,2.45605,1.5502
16,1,1,44918,SS,5.0,25,0.05,9.8242,1.5898000000000003
16,1,1,44918,SS,5.0,25,0.05,39.2968,1.7407
16,1,1,44918,SS,5.0,25,0.4,2.45605,1.6046000000000002
16,1,1,44918,SS,5.0,25,0.4,9.8242,1.6447
16,1,1,44918,SS,5.0,25,0.4,39.2968,1.7955000000000003
16,1,1,44918,TT,3.6,25,0.0125,2.45605,1.8358000000000003
16,1,1,44918,TT,3.6,25,0.0125,9.8242,1.8833
16,1,1,44918,TT,3.6,25,0.0125,39.2968,2.0637
16,1,1,44918,TT,3.6,25,0.05,2.45605,1.8410000000000002
16,1,1,44918,TT,3.6,25,0.05,9.8242,1.8883
16,1,1,44918,TT,3.6,25,0.05,39.2968,2.0690000000000004
16,1,1,44918,TT,3.6,25,0.4,2.45605,1.8998
16,1,1,44918,TT,3.6,25,0.4,9.8242,1.9467000000000003
16,1,1,44918,TT,3.6,25,0.4,39.2968,2.1277
32,3,2,61533,FF,5.0,25,0.0125,2.45605,1.7466
32,3,2,61533,FF,5.0,25,0.0125,9.8242,1.7888000000000002
32,3,2,61533,FF,5.0,25,0.0125,39.2968,1.951
32,3,2,61533,FF,5.0,25,0.05,2.45605,1.7509000000000001
32,3,2,61533,FF,5.0,25,0.05,9.8242,1.7935000000000003
32,3,2,61533,FF,5.0,25,0.05,39.2968,1.9557000000000002
32,3,2,61533,FF,5.0,25,0.4,2.45605,1.8069
32,3,2,61533,FF,5.0,25,0.4,9.8242,1.8495000000000001
32,3,2,61533,FF,5.0,25,0.4,39.2968,2.0117
32,3,2,61533,SS,5.0,25,0.0125,2.45605,1.8027
32,3,2,61533,SS,5.0,25,0.0125,9.8242,1.8469000000000002
32,3,2,61533,SS,5.0,25,0.0125,39.2968,2.0147
32,3,2,61533,SS,5.0,25,0.05,2.45605,1.8072000000000001
32,3,2,61533,SS,5.0,25,0.05,9.8242,1.8516000000000001
32,3,2,61533,SS,5.0,25,0.05,39.2968,2.0192
32,3,2,61533,SS,5.0,25,0.4,2.45605,1.8658
32,3,2,61533,SS,5.0,25,0.4,9.8242,1.9107
32,3,2,61533,SS,5.0,25,0.4,39.2968,2.079
32,3,2,61533,TT,3.6,25,0.0125,2.45605,2.1397
32,3,2,61533,TT,3.6,25,0.0125,9.8242,2.1948
32,3,2,61533,TT,3.6,25,0.0125,39.2968,2.4041000000000006
32,3,2,61533,TT,3.6,25,0.05,2.45605,2.1449
32,3,2,61533,TT,3.6,25,0.05,9.8242,2.1999000000000004
32,3,2,61533,TT,3.6,25,0.05,39.2968,2.4093
32,3,2,61533,TT,3.6,25,0.4,2.45605,2.2086000000000006
32,3,2,61533,TT,3.6,25,0.4,9.8242,2.2639
32,3,2,61533,TT,3.6,25,0.4,39.2968,2.4734000000000003
32,2,2,55960,FF,5.0,25,0.0125,2.45605,1.7161000000000002
32,2,2,55960,FF,5.0,25,0.0125,9.8242,1.7588
32,2,2,55960,FF,5.0,25,0.0125,39.2968,1.9199
32,2,2,55960,FF,5.0,25,0.05,2.45605,1.72
32,2,2,55960,FF,5.0,25,0.05,9.8242,1.7622000000000002
32,2,2,55960,FF,5.0,25,0.05,39.2968,1.9238
32,2,2,55960,FF,5.0,25,0.4,2.45605,1.7759000000000003
32,2,2,55960,FF,5.0,25,0.4,9.8242,1.8184
32,2,2,55960,FF,5.0,25,0.4,39.2968,1.9794
32,2,2,55960,SS,5.0,25,0.0125,2.45605,1.7713000000000003
32,2,2,55960,SS,5.0,25,0.0125,9.8242,1.8156000000000003
32,2,2,55960,SS,5.0,25,0.0125,39.2968,1.9823000000000002
32,2,2,55960,SS,5.0,25,0.05,2.45605,1.7763000000000002
32,2,2,55960,SS,5.0,25,0.05,9.8242,1.8201
32,2,2,55960,SS,5.0,25,0.05,39.2968,1.9870000000000003
32,2,2,55960,SS,5.0,25,0.4,2.45605,1.8341
32,2,2,55960,SS,5.0,25,0.4,9.8242,1.8781000000000003
32,2,2,55960,SS,5.0,25,0.4,39.2968,2.0451
32,2,2,55960,TT,3.6,25,0.0125,2.45605,2.1025
32,2,2,55960,TT,3.6,25,0.0125,9.8242,2.1574
32,2,2,55960,TT,3.6,25,0.0125,39.2968,2.366
32,2,2,55960,TT,3.6,25,0.05,2.45605,2.1063
32,2,2,55960,TT,3.6,25,0.05,9.8242,2.1612
32,2,2,55960,TT,3.6,25,0.05,39.2968,2.3698
32,2,2,55960,TT,3.6,25,0.4,2.45605,2.1703
32,2,2,55960,TT,3.6,25,0.4,9.8242,2.2248000000000006
32,2,2,55960,TT,3.6,25,0.4,39.2968,2.4334
16,3,1,49288,FF,5.0,25,0.0125,2.45605,1.5062
16,3,1,49288,FF,5.0,25,0.0125,9.8242,1.5456
16,3,1,49288,FF,5.0,25,0.0125,39.2968,1.6936
16,3,1,49288,FF,5.0,25,0.05,2.45605,1.5117
16,3,1,49288,FF,5.0,25,0.05,9.8242,1.5506
16,3,1,49288,FF,5.0,25,0.05,39.2968,1.6983
16,3,1,49288,FF,5.0,25,0.4,2.45605,1.5674
16,3,1,49288,FF,5.0,25,0.4,9.8242,1.6067
16,3,1,49288,FF,5.0,25,0.4,39.2968,1.7538
16,3,1,49288,SS,5.0,25,0.0125,2.45605,1.5613
16,3,1,49288,SS,5.0,25,0.0125,9.8242,1.6019000000000003
16,3,1,49288,SS,5.0,25,0.0125,39.2968,1.7544
16,3,1,49288,SS,5.0,25,0.05,2.45605,1.5662000000000003
16,3,1,49288,SS,5.0,25,0.05,9.8242,1.6061000000000003
16,3,1,49288,SS,5.0,25,0.05,39.2968,1.7587000000000002
16,3,1,49288,SS,5.0,25,0.4,2.45605,1.6242000000000003
16,3,1,49288,SS,5.0,25,0.4,9.8242,1.6645
16,3,1,49288,SS,5.0,25,0.4,39.2968,1.817
16,3,1,49288,TT,3.6,25,0.0125,2.45605,1.8522000000000003
16,3,1,49288,TT,3.6,25,0.0125,9.8242,1.9004
16,3,1,49288,TT,3.6,25,0.0125,39.2968,2.0833
16,3,1,49288,TT,3.6,25,0.05,2.45605,1.8586000000000003
16,3,1,49288,TT,3.6,25,0.05,9.8242,1.9065000000000003
16,3,1,49288,TT,3.6,25,0.05,39.2968,2.0888
16,3,1,49288,TT,3.6,25,0.4,2.45605,1.9209000000000003
16,3,1,49288,TT,3.6,25,0.4,9.8242,1.9689
16,3,1,49288,TT,3.6,25,0.4,39.2968,2.1510000000000002
64,1,4,56307,FF,5.0,25,0.0125,2.45605,1.7980000000000003
64,1,4,56307,FF,5.0,25,0.0125,9.8242,1.8410000000000002
64,1,4,56307,FF,5.0,25,0.0125,39.2968,2.0055
64,1,4,56307,FF,5.0,25,0.05,2.45605,1.8018
64,1,4,56307,FF,5.0,25,0.05,9.8242,1.8449000000000002
64,1,4,56307,FF,5.0,25,0.05,39.2968,2.0094000000000003
64,1,4,56307,FF,5.0,25,0.4,2.45605,1.8579
64,1,4,56307,FF,5.0,25,0.4,9.8242,1.9013
64,1,4,56307,FF,5.0,25,0.4,39.2968,2.0651
64,1,4,56307,SS,5.0,25,0.0125,2.45605,1.8547000000000002
64,1,4,56307,SS,5.0,25,0.0125,9.8242,1.8986
64,1,4,56307,SS,5.0,25,0.0125,39.2968,2.0683
64,1,4,56307,SS,5.0,25,0.05,2.45605,1.8586000000000003
64,1,4,56307,SS,5.0,25,0.05,9.8242,1.9023000000000003
64,1,4,56307,SS,5.0,25,0.05,39.2968,2.0722000000000005
64,1,4,56307,SS,5.0,25,0.4,2.45605,1.9177000000000002
64,1,4,56307,SS,5.0,25,0.4,9.8242,1.9612000000000003
64,1,4,56307,SS,5.0,25,0.4,39.2968,2.1309
64,1,4,56307,TT,3.6,25,0.0125,2.45605,2.2058
64,1,4,56307,TT,3.6,25,0.0125,9.8242,2.2605000000000004
64,1,4,56307,TT,3.6,25,0.0125,39.2968,2.4711
64,1,4,56307,TT,3.6,25,0.05,2.45605,2.2114000000000003
64,1,4,56307,TT,3.6,25,0.05,9.8242,2.2665
64,1,4,56307,TT,3.6,25,0.05,39.2968,2.4763
64,1,4,56307,TT,3.6,25,0.4,2.45605,2.275
64,1,4,56307,TT,3.6,25,0.4,9.8242,2.3298000000000005
64,1,4,56307,TT,3.6,25,0.4,39.2968,2.5404
32,1,2,50620,FF,5.0,25,0.0125,2.45605,1.6865
32,1,2,50620,FF,5.0,25,0.0125,9.8242,1.7291
32,1,2,50620,FF,5.0,25,0.0125,39.2968,1.8895000000000002
32,1,2,50620,FF,5.0,25,0.05,2.45605,1.6914000000000002
32,1,2,50620,FF,5.0,25,0.05,9.8242,1.7333000000000003
32,1,2,50620,FF,5.0,25,0.05,39.2968,1.8939
32,1,2,50620,FF,5.0,25,0.4,2.45605,1.7472
32,1,2,50620,FF,5.0,25,0.4,9.8242,1.7880000000000003
32,1,2,50620,FF,5.0,25,0.4,39.2968,1.9504000000000001
32,1,2,50620,SS,5.0,25,0.0125,2.45605,1.7409000000000001
32,1,2,50620,SS,5.0,25,0.0125,9.8242,1.7842
32,1,2,50620,SS,5.0,25,0.0125,39.2968,1.9504000000000001
32,1,2,50620,SS,5.0,25,0.05,2.45605,1.7450000000000003
32,1,2,50620,SS,5.0,25,0.05,9.8242,1.7885000000000002
32,1,2,50620,SS,5.0,25,0.05,39.2968,1.9549000000000003
32,1,2,50620,SS,5.0,25,0.4,2.45605,1.8043
32,1,2,50620,SS,5.0,25,0.4,9.8242,1.8470000000000002
32,1,2,50620,SS,5.0,25,0.4,39.2968,2.0142
32,1,2,50620,TT,3.6,25,0.0125,2.45605,2.0660000000000003
32,1,2,50620,TT,3.6,25,0.0125,9.8242,2.1195
32,1,2,50620,TT,3.6,25,0.0125,39.2968,2.3282
32,1,2,50620,TT,3.6,25,0.05,2.45605,2.0698
32,1,2,50620,TT,3.6,25,0.05,9.8242,2.1242
32,1,2,50620,TT,3.6,25,0.05,39.2968,2.3331
32,1,2,50620,TT,3.6,25,0.4,2.45605,2.1344
32,1,2,50620,TT,3.6,25,0.4,9.8242,2.1888
32,1,2,50620,TT,3.6,25,0.4,39.2968,2.3966000000000003
